engine,engine_label,n,dimensions,cache_mb,clusters,noise,batch,accuracy,hnsw_m,hnsw_ef_add,hnsw_ef,inserts_per_s,updates_per_s,mixed_per_s,mem_mb,warm_mem_mb,disk_mb,save_ms,run_seconds,error
hnsw,HnswVectorIndex,10000,1536,2000,200,1,5000,0.25,16,128,64,10143.32,3045.782,6305.057,94.529,119.692,75.959,25.764,5.684,
memory,MemorySemanticIndex,50000,1536,10,200,1,5000,0.25,16,128,64,65755.834,888809.884,361.514,296.143,299.236,293.541,518.9,22.323,
ivs,IVSVectorIndex,50000,1536,10,200,1,5000,0.25,16,128,64,30326.459,985173.144,106.805,3.272,9.079,293.729,21.741,61.113,
hnsw,HnswVectorIndex,50000,1536,10,200,1,5000,0.25,16,128,64,158.998,227.882,272.867,14.505,43.764,379.793,110.37,394.02,
memory,MemorySemanticIndex,50000,1536,100,200,1,5000,0.25,16,128,64,64977.494,1369019.098,362.61,296.143,299.233,293.541,506.462,21.884,
ivs,IVSVectorIndex,50000,1536,100,200,1,5000,0.25,16,128,64,28383.536,1375042.97,150.766,3.269,101.442,293.729,31.078,43.311,
hnsw,HnswVectorIndex,50000,1536,100,200,1,5000,0.25,16,128,64,14455.96,2414.883,1615.337,104.113,129.35,379.793,108.921,23.389,
memory,MemorySemanticIndex,50000,1536,500,200,1,5000,0.25,16,128,64,62132.656,1342101.731,365.398,296.143,299.236,293.541,538.088,21.207,
ivs,IVSVectorIndex,50000,1536,500,200,1,5000,0.25,16,128,64,29325.778,1296680.498,744.43,3.268,302.499,293.729,30.751,11.213,
hnsw,HnswVectorIndex,50000,1536,500,200,1,5000,0.25,16,128,64,15922.173,2488.131,5223.998,424.572,449.843,379.793,108.241,10.133,
memory,MemorySemanticIndex,50000,1536,2000,200,1,5000,0.25,16,128,64,75338.727,1407261.469,360.762,296.143,299.236,293.541,506.616,21.696,
ivs,IVSVectorIndex,50000,1536,2000,200,1,5000,0.25,16,128,64,33493.768,1405777.747,770.167,3.271,302.449,293.729,30.383,10.809,
hnsw,HnswVectorIndex,50000,1536,2000,200,1,5000,0.25,16,128,64,15530.276,2534.182,5514.661,424.583,449.822,379.793,114.001,10.102,
memory,MemorySemanticIndex,100000,1536,10,200,1,5000,0.25,16,128,64,77959.452,1407558.59,186.783,592.42,598.455,587.082,1008.318,40.15,
ivs,IVSVectorIndex,100000,1536,10,200,1,5000,0.25,16,128,64,27868.677,1369487.812,55.134,6.291,12.162,587.465,284.275,119.521,
